LicenseId,LicenseName,LicenseScore,PackageName,PackageVersion,LicenseReferenceType,LicenseReference,LicenseState,LicenseStateLastUpdateDate,LicenseStateLastUpdateUser,LicenseStateLastUpdateComment
1,"Apache 2.0",3,"org.jboss.logging:jboss-logging","3.6.1.Final","LicenseFileInJar","https://mvnrepository.com/artifact/org.jboss.logging/jboss-logging/3.6.1.Final","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.jspecify:jspecify","1.0.0","LicenseFileInJar","https://mvnrepository.com/artifact/org.jspecify/jspecify/1.0.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.modelmapper:modelmapper","2.3.8","LicenseFileInJar","https://mvnrepository.com/artifact/org.modelmapper/modelmapper/2.3.8","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.objenesis:objenesis","3.3","LicenseFileInJar","https://mvnrepository.com/artifact/org.objenesis/objenesis/3.3","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.opentest4j:opentest4j","1.3.0","LicenseFileInJar","https://mvnrepository.com/artifact/org.opentest4j/opentest4j/1.3.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.skyscreamer:jsonassert","1.5.3","LicenseFileInJar","https://mvnrepository.com/artifact/org.skyscreamer/jsonassert/1.5.3","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.springdoc:springdoc-openapi-starter-webmvc-ui","2.7.0","PomFile","https://mvnrepository.com/artifact/org.springdoc/springdoc-openapi-starter-webmvc-ui/2.7.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.springframework.boot:spring-boot","3.4.6","LicenseFileInJar","https://mvnrepository.com/artifact/org.springframework.boot/spring-boot/3.4.6","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.springframework.boot:spring-boot-actuator","3.4.6","LicenseFileInJar","https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-actuator/3.4.6","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.springframework.boot:spring-boot-actuator-autoconfigure","3.4.6","LicenseFileInJar","https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-actuator-autoconfigure/3.4.6","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
